tempo,referencia,velocidade,pwm,erro
5.79004,1,-36.9963,255,37.9963
5.80004,1,-37.015,255,38.015
5.81004,1,-36.9768,255,37.9768
5.82004,1,-36.8946,255,37.8946
5.83004,1,-36.7579,255,37.7579
5.84004,1,-36.5814,255,37.5814
5.85004,1,-36.3435,255,37.3435
5.86004,1,-36.0682,255,37.0682
5.87004,1,-35.7412,255,36.7412
5.88004,1,-35.3665,255,36.3665
5.89004,1,-34.9401,255,35.9401
5.90004,1,-34.4771,255,35.4771
5.91004,1,-33.9472,255,34.9472
5.92004,1,-33.3606,255,34.3606
5.93004,1,-32.7151,255,33.7151
5.94004,1,-32.0246,255,33.0246
5.95004,1,-31.296,255,32.296
5.96004,1,-30.5268,255,31.5268
5.97004,1,-29.6933,255,30.6933
5.98004,1,-28.803,255,29.803
5.99004,1,-27.8663,255,28.8663
6.00004,1,-26.8832,255,27.8832
6.01004,1,-25.8567,255,26.8567
6.02004,1,-24.7743,255,25.7743
